City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
211,Coihaique,-45.58,-72.07,44.6,70,90,4.7,overcast clouds,CL,2020-08-02 20:18:01
212,Cayenne,4.93,-52.33,86.0,62,78,5.82,broken clouds,GF,2020-08-02 20:19:24
213,Moose Factory,51.26,-80.61,59.0,67,75,10.29,broken clouds,CA,2020-08-02 20:19:24
214,Ust-Tsilma,65.44,52.15,54.16,92,100,3.06,overcast clouds,RU,2020-08-02 20:19:24
215,Chapais,49.78,-74.85,64.4,93,75,4.7,broken clouds,CA,2020-08-02 20:19:24
216,Tuatapere,-46.13,167.68,43.02,89,58,3.96,broken clouds,NZ,2020-08-02 20:19:24
217,Urumqi,43.8,87.6,82.99,50,75,6.71,light intensity shower rain,CN,2020-08-02 20:19:24
218,Aracati,-4.56,-37.77,82.54,69,28,13.27,scattered clouds,BR,2020-08-02 20:19:24
219,Tamiahua,21.27,-97.45,88.34,64,15,10.49,few clouds,MX,2020-08-02 20:19:25
220,Tambo,-14.8,-73.92,57.04,31,0,7.99,clear sky,PE,2020-08-02 20:19:25
221,Saint George,37.1,-113.58,106.0,9,1,9.17,clear sky,US,2020-08-02 20:15:41
222,Laguna,38.42,-121.42,89.01,38,64,4.0,broken clouds,US,2020-08-02 20:19:25
223,Ambon,-3.7,128.18,77.2,84,66,8.46,broken clouds,ID,2020-08-02 20:19:25
224,Ca Mau,9.18,105.15,77.83,89,100,7.38,light rain,VN,2020-08-02 20:15:38
225,Wadi Musa,30.32,35.48,66.92,58,0,3.11,clear sky,JO,2020-08-02 20:19:25
226,Richards Bay,-28.78,32.04,65.88,75,0,16.62,clear sky,ZA,2020-08-02 20:19:25
227,Cozumel,20.51,-86.95,89.6,70,75,12.75,broken clouds,MX,2020-08-02 20:19:25
228,Eureka,40.8,-124.16,68.0,87,90,8.05,overcast clouds,US,2020-08-02 20:17:12
229,Tekirdag,40.98,27.51,69.8,77,0,11.41,clear sky,TR,2020-08-02 20:19:25
230,Akyab,20.15,92.9,83.34,83,100,5.12,light rain,MM,2020-08-02 20:19:25
231,Hervey Bay,-25.3,152.85,60.01,82,22,4.0,few clouds,AU,2020-08-02 20:19:26
232,Kindu,-2.95,25.95,79.5,39,53,0.92,broken clouds,CD,2020-08-02 20:16:03
